$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 06, 2025 18:58:49

*RUN   1        : WW23_G-1                  CSCER048 CIOB2301    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : CIOB2301 WH ROOTS ANATOMY
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : WW23_G-1                  CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 2022 338    94    11  22.0  -6.0 12.82  2.82  0.05  1.48   4.5  0.06 0.007  0.07    61     9    12    40    21    19     0  0.00     0     0     9     0 0.774 .0604  21.5     0     0   150   290  0.33  0.73  14.8  99.9  0.67  0.66  0.33  0.48  0.24  0.24  0.24   1.0  0.00  0.13  0.50  0.40
 2022 339    95    12  22.2  -6.0 13.08  3.08  0.06  2.30   3.2  0.07 0.008  0.08    64     9    13    43    23    19     0  0.00     0     0     8     0 0.774 .0739  18.4     0     0   150   289  0.36  0.74  17.3  99.9  1.62  0.00  0.00  0.00  0.20  0.20  0.20   1.1  0.00  0.15  0.50  0.40
 2022 340    96    13  19.7  -6.0 13.30  3.30  0.06  2.39   2.6  0.07 0.009  0.08    66     9    13    45    25    19     0  0.00     0     0     7     0 0.774 .0862  15.9     0     0   179   288  0.38  0.75  21.0  99.9  2.23  0.00  0.00  0.00  0.17  0.17  0.17   1.4  0.00  0.00  0.50  0.40
 2022 341    97    14  20.0  -6.0 13.54  3.54  0.07  2.46   4.8  0.08 0.010  0.09    70     9    14    48    28    20     0  0.00     0     0     6     0 0.774 0.099  13.3     0     0   208   286  0.40  0.75  21.6  99.9  1.37  0.00  0.00  0.00  0.15  0.15  0.15   1.1  0.00  0.00  0.50  0.40
 2022 342    98    15  20.8  -6.0 13.78  3.78  0.07  1.54   6.9  0.09 0.011  0.10    76     9    15    53    31    22     0  0.00     0     0     7     0 0.774 0.113  13.9     0     0   216   285  0.42  0.73  22.4  99.9  0.61  0.78  0.39  0.53  0.12  0.12  0.12   1.1  0.00  0.05  0.50  0.40
 2022 343    99    16  18.0  -6.0 13.99  3.99  0.08  1.51   8.2  0.09 0.011  0.10    83     9    16    59    32    26     0  0.00     0     0    10     0 1.221 0.127  17.2     0     0   222   284  0.44  0.72  23.7  99.9  0.59  0.83  0.41  0.55  0.10  0.10  0.10   1.4  0.00  0.00  0.50  0.40
 2022 344   100    17  17.0  -6.0 14.19  4.19  0.08  1.58   9.5  0.10 0.012  0.11    92     9    18    66    35    31     0  0.00     0     0    13     0 1.221 0.140  20.1     0     0   228   283  0.45  0.73  24.8  99.9  0.60  0.80  0.40  0.54  0.09  0.09  0.09   1.8  0.00  0.00  0.50  0.40
 2022 345   101    18  16.2  -6.0 14.37  4.37  0.08  1.77  11.0  0.10 0.012  0.11   100     9    19    72    36    36     0  0.00     0     0    18     0 2.561 0.155  25.4     0     0   237   282  0.47  0.73  25.9  99.9  0.67  0.67  0.33  0.49  0.07  0.07  0.07   1.5  0.00  0.00  0.50  0.40
 2022 346   102    19  16.1  -6.0 14.56  4.56  0.09  1.98  12.7  0.10 0.013  0.12   110     9    21    80    37    43     0  0.00     0     0    24     0 3.901 0.170  30.2     0     0   250   281  0.48  0.74  26.8  99.9  0.73  0.53  0.27  0.44  0.06  0.06  0.06   2.0  0.00  0.00  0.50  0.40
 2022 347   103    20  15.1  -6.0 14.74  4.74  0.09  2.37  15.0  0.11 0.014  0.12   123     9    24    90    39    51     0  0.00     0     0    31     0 5.160 0.186  34.5     0     0   270   279  0.50  0.76  74.3  99.9  0.87  0.26  0.13  0.33  0.05  0.05  0.05   2.0  0.00  0.00  0.50  0.40
 2022 348   104    21  15.2  -6.0 14.91  4.91  0.10  2.75  19.5  0.12 0.015  0.14   139     9    26   104    43    61     0  0.00     0     0    39     0 6.431 0.204  37.1     0     0   295   278  0.51  0.77  57.4  99.9  2.56  0.00  0.00  0.00  0.04  0.04  0.04   2.0  0.00  0.00  0.50  0.40
 2022 349   105    22  14.6  -6.0 21.13  5.08  0.11  2.78  20.9  0.13 0.017  0.15   157     9    29   120    48    71     0  0.00     0     0    46     0 7.126 0.224  38.5     0     0   320   276  0.53  0.77  42.1  99.9  2.82  0.00  0.00  0.00  0.03  0.03  0.03   2.0  0.00  0.00  0.50  0.40
 2022 350   106    23  12.5  -6.0 21.27  5.23  0.12  2.81  13.0  0.15 0.019  0.17   168     9    31   129    56    73     0  0.00     0     0    45     0 7.903 0.242  34.7     0     0   341   274  0.54  0.77  35.9  99.9  3.77  0.00  0.00  0.00  0.02  0.02  0.02   1.5  0.00  0.00  0.49  0.40
 2022 351   107    24  14.9  -6.0 21.45  5.40  0.14  2.83  25.2  0.17 0.023  0.20   190     9    34   147    64    83     0  0.00     0     0    50     0 8.838 0.265  33.9     0     0   367   272  0.55  0.77  33.9  99.9  1.97  0.00  0.00  0.00  0.02  0.02  0.02   1.1  0.00  0.00  0.49  0.40
 2022 352   108    25  15.5  -6.0 21.62  5.58  0.15  2.84  28.9  0.20 0.026  0.22   215     9    38   168    73    96     0  0.00     0     0    57     0 9.813 0.292  34.1     0     0   394   270  0.57  0.77  34.4  94.0  1.87  0.00  0.00  0.00  0.01  0.01  0.01   1.2  0.00  0.00  0.49  0.40
 2022 353   109    26  14.8  -6.0 21.79  5.76  0.17  2.86  33.0  0.22 0.029  0.25   244     9    43   193    81   112     0  0.00     0     0    69     0 10.75 0.320  35.7     0     0   419   269  0.58  0.77  34.9  84.7  1.73  0.00  0.00  0.00  0.01  0.01  0.01   1.4  0.00  0.00  0.49  0.40
 2022 354   110    27  16.6  -6.0 21.99  5.95  0.19  2.87  33.3  0.24 0.032  0.28   274     9    47   218    91   127     0  0.00     0     0    79     0 11.80 0.356  36.1     0     0   448   268  0.60  0.77  35.5  83.0  1.75  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.00  0.49  0.40
 2022 355   111    28  15.2  -6.0 22.16  6.13  0.20  2.88  41.2  0.27 0.036  0.30   310     9    53   249   101   148     0  0.00     0     0    95     0 12.55 0.392  38.1     0     0   475   267  0.61  0.77  35.9  69.7  1.52  0.00  0.00  0.00  0.00  0.00  0.00   1.6  0.00  0.00  0.49  0.40
 2022 356   112    29  15.3  -6.0 22.43  6.30  0.23  2.88  45.5  0.30 0.040  0.34   351     9    59   283   114   169     0  0.00     0     0   109     0 13.54 0.432  38.4     0     0   515   265  0.63  0.77  36.2  63.6  1.46  0.00  0.00  0.00  0.00  0.00  0.00   1.2  0.00  0.00  0.49  0.40
 2022 357   113    30  15.9  -6.0 22.71  6.49  0.25  2.88  49.7  0.34 0.045  0.38   395     9    66   320   127   193     0  0.00     0     0   125     0 14.58 0.479  39.0     0     0   556   264  0.64  0.78  36.5  57.5  1.40  0.00  0.00  0.00  0.00  0.00  0.00   1.3  0.00  0.00  0.49  0.40
 2022 358   114    31  16.2  -6.0 22.99  6.68  0.27  2.88  54.9  0.37 0.050  0.42   444     9    73   362   141   221     0  0.00     0     0   145     0 15.64 0.533  40.0     0     0   599   263  0.65  0.78  36.7  52.2  1.35  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.00  0.49  0.40
 2022 359   115    32  17.8  -6.0 23.30  6.89  0.29  2.88  60.2  0.41 0.056  0.46   497     9    81   408   156   252     0  0.00     0     0   168     0 16.80 0.598  41.1     0     0   645   261  0.67  0.78  36.9  46.2  1.27  0.00  0.00  0.03  0.00  0.00  0.00   1.4  0.00  0.00  0.50  0.40
 2022 360   116    33  17.0  -6.0 23.60  7.08  0.32  2.88  66.1  0.45 0.062  0.51   556     9    90   458   173   285     0  0.00     0     0   191     0 17.92 0.666  41.7     0     0   690   260  0.68  0.78  37.0  42.9  1.25  0.00  0.00  0.04  0.00  0.00  0.00   1.4  0.00  0.00  0.50  0.40
 2022 361   117    34  17.5  -6.0 23.90  7.29  0.34  2.88  70.9  0.49 0.068  0.56   619     9    99   511   191   321     0  0.00     0     0   217     0 19.55 0.745  42.4     0     0   736   259  0.70  0.78  37.1  39.6  1.22  0.00  0.00  0.06  0.00  0.00  0.00   1.4  0.00  0.00  0.50  0.40
 2022 362   118    35  16.6  -6.0 24.19  7.48  0.37  2.88  47.8  0.54 0.075  0.61   661     9   105   547   209   338     0  0.00     0     0   225     0 21.10 0.828  41.1     0     0   779   258  0.71  0.78  37.4  61.7  2.00  0.00  0.00  0.00  0.00  0.00  0.00   1.5  0.00  0.00  0.50  0.40
 2022 363   119    36  17.2  -6.0 24.49  7.68  0.39  2.88  22.1  0.59 0.082  0.67   679     9   108   563   231   332     0  0.00     0     0   208     0 22.72 0.918  37.0     0     0   824   256  0.72  0.78  38.4  99.9  4.41  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.00  0.50  0.40
 2022 364   120    37  18.6  -6.0 24.82  7.90  0.42  2.88  82.9  0.64 0.090  0.73   753     9   119   625   250   375     0  0.00     0     0   240     0 24.47 1.019  38.4     0     0   873   255  0.74  0.78  38.4  34.8  1.10  0.00  0.00  0.16  0.00  0.00  0.00   1.4  0.00  0.00  0.50  0.40
 2022 365   121    38  17.8  -6.0 25.10  8.10  0.44  2.75  88.0  0.68 0.096  0.78   831     9   131   692   269   423     0  0.00     0     0   277     0 26.15 1.125  40.1     0     0   915   254  0.75  0.78  38.3  31.4  0.95  0.09  0.05  0.27  0.00  0.00  0.00   1.5  0.00  0.00  0.50  0.40
 2023   1   122    39  16.6  -6.0 25.39  8.30  0.47  2.88  85.0  0.74 0.105  0.84   906     9   142   755   293   463     0  0.00     0     0   303     0 29.17 1.234  40.2     0     0   959   253  0.77  0.78  38.2  35.5  1.04  0.00  0.00  0.20  0.00  0.00  0.00   1.2  0.00  0.00  0.50  0.40
 2023   2   123    40  15.1  -6.0 25.66  8.47  0.49  2.88  73.8  0.80 0.114  0.91   970     9   151   810   318   492     0  0.00     0     0   319     0 31.93 1.341  39.3     0     0   998   252  0.78  0.78  38.3  42.2  1.21  0.00  0.00  0.07  0.00  0.00  0.00   1.3  0.00  0.00  0.50  0.40
 2023   3   124    41  13.8  -6.0 25.82  8.63  0.51  2.41  89.9  0.83 0.120  0.95  1049     9   164   877   333   544     0  0.00     0     0   361     0 34.45 1.446  41.2     0     0  1023   251  0.79  0.77  79.5  61.5  0.84  0.32  0.16  0.35  0.00  0.00  0.00   2.0  0.00  0.00  0.50  0.40
 2023   4   125    42  16.3  -6.0 26.10  8.82  0.54  2.88 113.9  0.90 0.131  1.04  1150     9   179   963   362   601     0  0.00     0     0   401     0 37.44 1.579  41.6     0     0  1066   250  0.80  0.78  63.0  41.1  3.15  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.50  0.40
 2023   5   126    43  17.6  -6.0 26.41  9.03  0.57  2.88 124.2  0.99 0.145  1.14  1260     9   195  1057   400   658     0  0.00     0     0   436     0 40.69 1.737  41.2     0     0  1112   248  0.82  0.78  55.9  33.1  3.11  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.50  0.40
 2023   6   127    44  18.3  -6.0 26.73  9.24  0.60  2.88 129.4  1.09 0.160  1.25  1370     9   211  1150   443   708     0  0.00     0     0   461     0 49.43 1.915  40.1     0     0  1160   246  0.83  0.78  52.8  30.2  2.65  0.00  0.00  0.00  0.00  0.00  0.00   1.7  0.00  0.00  0.50  0.40
 2023   7   128    45  17.7  -6.0 27.04  9.45  0.63  2.88 132.9  1.19 0.176  1.36  1482     9   228  1246   484   762     0  0.00     0     0   491     0 57.94 2.101  39.4     0     0  1206   245  0.85  0.79  51.3  29.1  2.45  0.00  0.00  0.00  0.00  0.00  0.00   1.8  0.00  0.00  0.50  0.40
 2023   8   129    46  17.3  -6.0 27.34  9.65  0.67  2.88 139.6  1.29 0.192  1.48  1602     9   246  1347   529   818     0  0.00     0     0   520     0 66.31 2.299  38.6     0     0  1251   243  0.86  0.79  50.4  27.4  2.21  0.00  0.00  0.00  0.00  0.00  0.00   1.6  0.00  0.00  0.50  0.40
 2023   9   130    47  16.6  -6.0 27.63  9.84  0.69  2.88 153.0  1.39 0.209  1.60  1733     9   265  1460   573   887     0  0.00     0     0   563     0 74.40 2.503  38.5     0     0  1295   242  0.88  0.79  49.4  24.7  1.95  0.00  0.00  0.00  0.00  0.00  0.00   1.7  0.00  0.00  0.50  0.40
 2023  10   131    48  17.2  -6.0 27.93 10.04  0.72  2.88 154.3  1.50 0.227  1.72  1866     9   284  1573   621   952     0  0.00     0     0   599     0 82.79 2.731  38.1     0     0  1340   241  0.89  0.79  48.3  23.7  1.88  0.00  0.00  0.00  0.00  0.00  0.00   1.5  0.00  0.00  0.50  0.40
 2023  11   132    49  17.9  -6.0 28.24 10.25  0.75  2.88 168.7  1.63 0.249  1.88  2008     9   306  1694   682  1011     0  0.00     0     0   623     0 95.07 2.986  36.8     0     0  1387   239  0.91  0.79  47.0  20.7  1.54  0.00  0.00  0.00  0.00  0.00  0.00   1.1  0.00  0.00  0.50  0.39
 2023  12   133    50  18.4  -6.0 28.56 10.46  0.78  2.88 176.9  1.78 0.274  2.06  2157     9   328  1820   749  1071     0  0.00     0     0   644     0 107.8 3.267  35.4     0     0  1435   238  0.92  0.79  45.5  19.1  1.34  0.00  0.00  0.00  0.00  0.00  0.00   1.1  0.00  0.00  0.50  0.39
 2023  13   134    51  16.6  -6.0 28.85 10.66  0.80  2.88 181.6  1.90 0.294  2.20  2311     9   350  1952   804  1148     0  0.00     0     0   688     0 119.3 3.540  35.3     0     0  1478   237  0.93  0.79  44.1  18.4  1.20  0.00  0.00  0.08  0.00  0.00  0.00   1.3  0.00  0.00  0.50  0.39
 2023  14   135    52  17.6  -6.0 29.16 10.86  0.82  2.88 184.3  2.00 0.312  2.31  2467     9   373  2086   850  1236     0  0.00     0     0   746     0 131.6 3.849  35.8     0     0  1524   236  0.95  0.79  42.7  17.2  1.00  0.00  0.00  0.23  0.00  0.00  0.00   1.4  0.00  0.00  0.50  0.39
 2023  15   136    53  16.9  -6.0 29.46 11.06  0.84  2.88 129.3  2.16 0.337  2.50  2574     9   389  2177   921  1255     0  0.00     0     0   729     0 143.2 4.163  33.5     0     0  1568   234  0.96  0.79  42.0  25.1  1.27  0.00  0.00  0.02  0.00  0.00  0.00   0.9  0.00  0.00  0.50  0.39
 2023  16   137    54  17.0  -6.0 29.61 11.26  0.85  2.19 147.4  2.25 0.354  2.61  2692     9   409  2275   965  1310     0  0.00     0     0   757     0 158.2 4.493  33.3     0     0  1592   233  0.98  0.77  41.1  16.3  0.76  0.47  0.24  0.41  0.00  0.00  0.00   1.2  0.00  0.00  0.50  0.39
 2023  17   138    55  14.1  -6.0 29.86 11.42  0.87  2.88  58.8  2.39 0.376  2.77  2734     9   416  2309  1031  1278     0  0.00     0     0   696     0 170.8 4.781  30.1     0     0  1629   232  0.99  0.79  41.6  57.9  2.40  0.00  0.00  0.00  0.00  0.00  0.00   1.0  0.00  0.00  0.50  0.39
 2023  18   139    56  13.8  -6.0 29.96 11.58  0.88  2.02 135.3  2.46 0.388  2.85  2843     9   435  2400  1062  1338     0  0.00     0     0   734     0 183.2 5.069  30.6     0     0  1643   231  1.00  0.76  40.8  17.2  0.70  0.59  0.30  0.46  0.00  0.00  0.00   1.8  0.00  0.00  0.49  0.39
 2023  19   140    57  14.2  -6.0 30.00 11.75  0.88  1.81 121.3  2.51 0.399  2.91  2940     9   452  2479  1089  1390     0  0.00     0     0   768     0 196.0 5.379  31.0     0     0  1653   231  1.01  0.76  40.1  16.6  0.63  0.74  0.37  0.52  0.00  0.00  0.00   1.9  0.00  0.00  0.49  0.39
 2023  20   141    58  13.8  -6.0 30.00 11.91  0.88  1.50 113.0  2.50 0.400  2.90  3013     9   469  2536  1088  1447     0  0.00     0     0   820     0 223.6 5.690  32.3     0     0  1655   230  1.02  0.75  96.6  35.6  0.52  0.96  0.48  0.60  0.00  0.00  0.00   2.0  0.00  0.00  0.49  0.38
 2023  21   142    59  14.1  -6.0 30.00 12.07  0.90  2.88 217.9  2.74 0.439  3.18  3213     9   496  2709  1197  1512     0  0.00     0     0   826     0 223.6 6.021  30.5     0     0  1691   229  1.03  0.80  80.6  29.5  5.06  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.49  0.38
 2023  22   143    60  14.1  -6.0 30.00 12.23  0.92  2.88 228.4  2.95 0.476  3.43  3404     9   523  2872  1298  1574     0  0.00     0     0   830     0 242.2 6.369  28.9     0     0  1728   227  1.05  0.80  73.1  25.4  5.06  0.00  0.00  0.00  0.00  0.00  0.00   1.5  0.00  0.00  0.48  0.38
 2023  23   144    61  12.6  -6.0 30.00 12.38  0.93  2.88 196.8  3.14 0.509  3.65  3568     9   547  3012  1389  1623     0  0.00     0     0   830     0 258.9 6.697  27.5     0     0  1761   226  1.06  0.80  71.2  29.9  6.39  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.48  0.38
 2023  24   145    62  13.1  -6.0 30.00 12.53  0.94  2.88 236.9  3.34 0.544  3.88  3767     9   576  3183  1484  1699     0  0.00     0     0   851     0 276.4 7.056  26.7     0     0  1795   225  1.07  0.80  68.8  23.7  4.81  0.00  0.00  0.00  0.00  0.00  0.00   1.9  0.00  0.00  0.47  0.38
 2023  25   146    63  14.5  -6.0 30.00 12.70  0.95  2.88 240.9  3.56 0.582  4.14  3969     9   604  3356  1589  1767     0  0.00     0     0   860     0 295.9 7.473  25.6     0     0  1833   224  1.08  0.80  66.3  21.5  4.02  0.00  0.00  0.00  0.00  0.00  0.00   1.7  0.00  0.00  0.47  0.38
 2023  26   147    64  15.7  -6.0 30.00 12.88  0.96  2.88 224.3  3.80 0.625  4.43  4154     9   631  3514  1709  1805     0  0.00     0     0   835     0 317.0 7.946  23.8     0     0  1874   223  1.09  0.80  64.1  21.9  3.92  0.00  0.00  0.00  0.00  0.00  0.00   1.4  0.00  0.00  0.47  0.38
 2023  27   148    65  12.1  -6.0 30.00 13.02  0.97  2.88 180.9  4.01 0.660  4.67  4303     9   653  3642  1808  1834     0  0.00     0     0   812     0 333.4 8.329  22.3     0     0  1906   222  1.10  0.80  62.5  28.2  4.70  0.00  0.00  0.00  0.00  0.00  0.00   1.8  0.00  0.00  0.46  0.37
 2023  28   149    66  15.6  -6.0 30.00 13.20  0.97  2.88 203.0  4.22 0.698  4.92  4453     9   677  3768  1915  1853     0  0.00     0     0   774     0 369.5 8.839  20.5     0     0  1947   220  1.11  0.80  60.7  22.5  3.45  0.00  0.00  0.00  0.00  0.00  0.00   1.2  0.00  0.00  0.46  0.37
 2023  29   150    67  14.4  -6.0 30.00 13.37  0.98  2.88 247.4  4.57 0.758  5.33  4676     9   706  3962  2088  1874     0  0.00     0     0   710     0 373.5 9.327  17.9     0     0  1985   219  1.13  0.80  58.3  18.1  2.42  0.00  0.00  0.00  0.00  0.00  0.00   1.2  0.00  0.00  0.00  0.00
 2023  30   151    68  14.6  -6.0 30.00 13.54  0.98  2.88 222.5  4.88 0.810  5.69  4873     9   732  4133  2239  1895     0  0.00     0     0   655     0 381.0 9.841  15.9     0     0  2023   218  1.14  0.80  56.2  19.3  2.21  0.00  0.00  0.00  0.00  0.00  0.00   1.0  0.00  0.00  0.00  0.00
 2023  31   152    69  14.5  -6.0 30.00 13.71  0.99  2.88 229.2  5.17 0.863  6.04  5077     9   758  4310  2390  1920     0  0.00     0     0   607     0 388.6 10.37  14.1     0     0  2061   217  1.15  0.80  54.1  18.0  1.82  0.00  0.00  0.00  0.00  0.00  0.00   1.1  0.00  0.00  0.00  0.00
 2023  32   153    70  13.4  -6.0 30.00 13.87  0.99  2.88 171.8  5.41 0.904  6.31  5228     9   777  4442  2510  1932     0  0.00     0     0   562     0 395.6 10.88  12.7     0     0  2096   215  1.16  0.81  52.7  24.2  2.14  0.00  0.00  0.00  0.00  0.00  0.00   1.5  0.00  0.00  0.00  0.00
 2023  33   154    71  15.9  -6.0 30.17 14.05  0.99  2.88 236.3  5.69 0.955  6.64  5437     9   804  4625  2653  1972     0  0.00     0     0   527     0 403.9 11.49  11.4     0     0  2137   214  1.17  0.81  50.4  15.8  1.31  0.00  0.00  0.00  0.00  0.00  0.00   1.1  0.00  0.00  0.00  0.00
 2023  34   155    72  16.9  -6.0 31.04 14.25  0.99  2.88 235.3  5.94 1.005  6.95  5645     9   829  4807  2792  2016     0  0.00     0     0   497     0 412.8 12.17  10.3     0     0  2181   213  1.19  0.81  94.8  28.8  1.08  0.00  0.00  0.17  0.00  0.00  0.00   1.1  0.00  0.00  0.00  0.00
 2023  35   156    73  16.9  -6.0 31.91 14.44  0.99  2.88 244.3  6.20 1.055  7.26  5862     9   856  4998  2930  2067     0  0.00     0     0   472     0 421.7 12.87   9.5     0     0  2225   212  1.20  0.82  89.4  26.1  5.71  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
 2023  36   157    74  18.1  -6.0 32.85 14.65  1.00  2.88 244.6  6.44 1.105  7.55  6079     9   881  5189  3064  2125     0  0.00     0     0   452     0 431.3 13.65   8.7     0     0  2273   210  1.22  0.82  84.3  24.0  7.16  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
 2023  37   158    75  16.7  -6.0 33.71 14.85  1.00  2.88 234.8  6.67 1.152  7.83  6287     9   905  5373  3192  2182     0  0.00     0     0   434     0 440.2 14.38   8.1     0     0  2316   209  1.22  0.82  81.2  25.0  7.85  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
 2023  38   159    76  16.2  -6.0 34.55 15.04  1.00  2.88 255.0  6.91 1.203  8.11  6515     9   931  5575  3323  2252     0  0.00     0     0   421     0 448.8 15.12   7.6     0     0  2316   208  1.22  0.83  77.7  22.4  7.11  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
 2023  39   160    77  18.1  -6.0 35.49 15.25  1.00  2.88 262.4  7.14 1.254  8.39  6749     9   957  5783  3453  2331     0  0.00     0     0   412     0 458.5 15.96   7.1     0     0  2316   207  1.22  0.83  73.9  19.7  5.78  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
 2023  40   161    78  15.1  -6.0 36.27 15.42  1.00  2.88 265.4  7.36 1.306  8.67  6988     9   983  5996  3583  2413     0  0.00     0     0   405     0 466.5 16.68   6.8     0     0  2316   205  1.22  0.83  70.3  19.5  4.94  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
 2023  41   162    79  17.1  -6.0 37.15 15.62  1.00  2.88 233.9  7.52 1.352  8.87  7196     9  1005  6183  3695  2487     0  0.00     0     0   398     0 475.7 17.53   6.4     0     0  2261   203  1.22  0.84  67.0  20.2  4.55  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.00  0.00
