,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
23,WW23_G-1,ENTRY 1,Product N (kg/ha),195.2,139.5,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
25,WW23_G-1,ENTRY 1,Product N (%),3.0,2.1,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
31,WW23_G-2,ENTRY 2,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
32,WW23_G-2,ENTRY 2,Anthesis (DAP),77.0,96.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
33,WW23_G-2,ENTRY 2,Maturity (DAP),107.0,139.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
34,WW23_G-2,ENTRY 2,Product wt (kg dm/ha;no loss),6266.0,6933.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
35,WW23_G-2,ENTRY 2,Product unit weight (g dm),0.039,0.042,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
36,WW23_G-2,ENTRY 2,Product number (no/m2),16119.0,16392.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
38,WW23_G-2,ENTRY 2,Product harvest index (ratio),0.59,0.41,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
39,WW23_G-2,ENTRY 2,Maximum leaf area index,4.2,6.1,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
42,WW23_G-2,ENTRY 2,Canopy (tops) wt (kg dm/ha),10666.0,16796.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
43,WW23_G-2,ENTRY 2,Vegetative wt (kg dm/ha),4400.0,9863.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
53,WW23_G-2,ENTRY 2,Product N (kg/ha),191.4,142.3,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
55,WW23_G-2,ENTRY 2,Product N (%),3.1,2.1,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
61,WW23_G-3,ENTRY 3,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
62,WW23_G-3,ENTRY 3,Anthesis (DAP),76.0,95.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
63,WW23_G-3,ENTRY 3,Maturity (DAP),106.0,138.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
64,WW23_G-3,ENTRY 3,Product wt (kg dm/ha;no loss),6254.0,7260.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
65,WW23_G-3,ENTRY 3,Product unit weight (g dm),0.049,0.049,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
66,WW23_G-3,ENTRY 3,Product number (no/m2),12685.0,14914.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
68,WW23_G-3,ENTRY 3,Product harvest index (ratio),0.6,0.43,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
69,WW23_G-3,ENTRY 3,Maximum leaf area index,3.9,5.6,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
72,WW23_G-3,ENTRY 3,Canopy (tops) wt (kg dm/ha),10461.0,16824.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
73,WW23_G-3,ENTRY 3,Vegetative wt (kg dm/ha),4207.0,9564.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
83,WW23_G-3,ENTRY 3,Product N (kg/ha),188.8,139.3,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
85,WW23_G-3,ENTRY 3,Product N (%),3.0,1.9,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
91,WW23_G-4,ENTRY 4,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
92,WW23_G-4,ENTRY 4,Anthesis (DAP),84.0,97.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
93,WW23_G-4,ENTRY 4,Maturity (DAP),115.0,141.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
94,WW23_G-4,ENTRY 4,Product wt (kg dm/ha;no loss),5604.0,7183.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
95,WW23_G-4,ENTRY 4,Product unit weight (g dm),0.039,0.049,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
96,WW23_G-4,ENTRY 4,Product number (no/m2),14481.0,14585.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
98,WW23_G-4,ENTRY 4,Product harvest index (ratio),0.42,0.46,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
99,WW23_G-4,ENTRY 4,Maximum leaf area index,5.6,5.5,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
102,WW23_G-4,ENTRY 4,Canopy (tops) wt (kg dm/ha),13406.0,15767.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
103,WW23_G-4,ENTRY 4,Vegetative wt (kg dm/ha),7802.0,8584.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
113,WW23_G-4,ENTRY 4,Product N (kg/ha),169.1,153.2,CIOB2301 WH ROOTS ANATOMY,24,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
115,WW23_G-4,ENTRY 4,Product N (%),3.0,2.1,CIOB2301 WH ROOTS ANATOMY,26,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
121,WW23_G-5,ENTRY 5,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
122,WW23_G-5,ENTRY 5,Anthesis (DAP),82.0,100.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
123,WW23_G-5,ENTRY 5,Maturity (DAP),112.0,144.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
124,WW23_G-5,ENTRY 5,Product wt (kg dm/ha;no loss),7669.0,7020.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
